rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
6665877,8406327,1978295,4635293,52289,1329139,649156,3501164,0,42729,9560,994603,334536,880828,902457,1253896,0,26289,16440,2840,6720,228273,8178054,66192,157992,4089,26769,39423,9291,17478,28830,10593,156442,1550,70192,86250,1550,0,1,4088,1,0,4088,0,4079570,4098484,1445275,2634295,1874853,2223631,n0,true,0.8057856193049825,0.746446853383712,12,6438,false,500,2,0.4980477120012749,0.4450878813640151,null
6665877,8406327,1978295,4635293,52289,1329139,649156,3501164,0,42729,9560,994603,334536,880828,902457,1253896,0,26289,16440,2840,6720,228273,8178054,66192,157992,4089,26769,39423,9291,17478,28830,10593,156442,1550,70192,86250,1550,0,1,4088,1,0,4088,0,4079570,4098484,1445275,2634295,1874853,2223631,n1,false,0.15180539827196443,0.7542458758323816,0,11823,false,500,1,0.24486701391518495,0.219915457707192,null
6665877,8406327,1978295,4635293,52289,1329139,649156,3501164,0,42729,9560,994603,334536,880828,902457,1253896,0,26289,16440,2840,6720,228273,8178054,66192,157992,4089,26769,39423,9291,17478,28830,10593,156442,1550,70192,86250,1550,0,1,4088,1,0,4088,0,4079570,4098484,1445275,2634295,1874853,2223631,n2,true,0.6314072181190566,0.8003528173131926,11,8510,false,0,1,0.4121270694795848,0.8972759475418117,null
6665877,8406327,1978295,4635293,52289,1329139,649156,3501164,0,42729,9560,994603,334536,880828,902457,1253896,0,26289,16440,2840,6720,228273,8178054,66192,157992,4089,26769,39423,9291,17478,28830,10593,156442,1550,70192,86250,1550,0,1,4088,1,0,4088,0,4079570,4098484,1445275,2634295,1874853,2223631,n3,false,0.007710728761075673,0.734053548110419,0,1217,false,501,5,0.5144337102074323,0.07595471670217813,null
6665877,8406327,1978295,4635293,52289,1329139,649156,3501164,0,42729,9560,994603,334536,880828,902457,1253896,0,26289,16440,2840,6720,228273,8178054,66192,157992,4089,26769,39423,9291,17478,28830,10593,156442,1550,70192,86250,1550,0,1,4088,1,0,4088,0,4079570,4098484,1445275,2634295,1874853,2223631,n4,true,0.8424270162034311,0.7797815630082817,12,16899,false,0,0,0.3302299236162659,0.840575071327416,null
6665877,8406327,1978295,4635293,52289,1329139,649156,3501164,0,42729,9560,994603,334536,880828,902457,1253896,0,26289,16440,2840,6720,228273,8178054,66192,157992,4089,26769,39423,9291,17478,28830,10593,156442,1550,70192,86250,1550,0,1,4088,1,0,4088,0,4079570,4098484,1445275,2634295,1874853,2223631,n6,true,0.509980517588199,0.8436641981430812,10,468,false,501,4,0.8462237315786152,0.7929599181749184,null
6665877,8406327,1978295,4635293,52289,1329139,649156,3501164,0,42729,9560,994603,334536,880828,902457,1253896,0,26289,16440,2840,6720,228273,8178054,66192,157992,4089,26769,39423,9291,17478,28830,10593,156442,1550,70192,86250,1550,0,1,4088,1,0,4088,0,4079570,4098484,1445275,2634295,1874853,2223631,n9,false,0.4882350508031101,0.3467547303406848,0,2722,false,501,3,0.6984883332339332,0.36557837127056514,null
6665877,8406327,1978295,4635293,52289,1329139,649156,3501164,0,42729,9560,994603,334536,880828,902457,1253896,0,26289,16440,2840,6720,228273,8178054,66192,157992,4089,26769,39423,9291,17478,28830,10593,156442,1550,70192,86250,1550,0,1,4088,1,0,4088,0,4079570,4098484,1445275,2634295,1874853,2223631,n10,false,0.4545978659332393,0.6052875139547479,0,3195,false,501,3,0.6179265606682179,0.4620361204540254,null
6665877,8406327,1978295,4635293,52289,1329139,649156,3501164,0,42729,9560,994603,334536,880828,902457,1253896,0,26289,16440,2840,6720,228273,8178054,66192,157992,4089,26769,39423,9291,17478,28830,10593,156442,1550,70192,86250,1550,0,1,4088,1,0,4088,0,4079570,4098484,1445275,2634295,1874853,2223631,n12,false,0.8851733537836172,0.46931172469547855,0,13592,false,500,2,0.08411280914527236,0.5597288968719627,null
6665877,8406327,1978295,4635293,52289,1329139,649156,3501164,0,42729,9560,994603,334536,880828,902457,1253896,0,26289,16440,2840,6720,228273,8178054,66192,157992,4089,26769,39423,9291,17478,28830,10593,156442,1550,70192,86250,1550,0,1,4088,1,0,4088,0,4079570,4098484,1445275,2634295,1874853,2223631,n13,false,0.8307744600712123,0.770227106546004,0,6155,false,501,3,0.032908705347140965,0.05722521380729462,null
