rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1b2a,rtA1b2b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n15,false,0.29787685542955156,0.7453848249619409,0,4631,false,500,2,0.3777788934913462,0.8952486235541306,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n19,true,0.5778550765904442,0.8660997797776264,15,8170,false,0,1,0.025086569532347502,0.8345130043941151,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n23,false,0.3400673575468572,0.6869305902518238,0,2230,false,502,5,0.7357288745401944,0.6071228680604048,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n26,false,0.6948307813658265,0.7283967725978981,0,500,true,500,2,0.8628953556936059,0.5069426793701881,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n29,false,0.030271808029311224,0.6845589457431854,0,1178,false,505,12,0.5402437750472555,0.7207749337085737,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n35,false,0.09575682408535204,0.9640997661167149,0,5225,false,505,12,0.06949560417371914,0.36943808839464876,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n36,false,0.5229653790983942,0.6715736316996999,0,940,false,502,6,0.47895824116147556,0.47494003247339733,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n37,false,0.7686002318755424,0.594046994672088,0,8620,false,502,6,0.22258278951592947,0.9176479534733712,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n39,true,0.8803520539534365,0.8209471485134687,16,9466,false,500,2,0.6282187731189162,0.8741847330930175,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n45,false,0.5686060519175757,0.5217542564532285,0,1258,false,502,6,0.5718414816600195,0.5195569796655163,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n46,false,0.13473849489606776,0.5737464924266803,0,8835,false,501,6,0.4548321788886257,0.8787689766806486,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n47,false,0.5372405392325688,0.6467698614541888,0,961,false,501,4,0.2790971915137339,0.9147152123803776,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n49,false,0.24480070119167285,0.7182334817296608,0,979,false,501,4,0.3207904885745507,0.863332926291588,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n51,true,0.160157116251314,0.9004304758613412,20,4530,false,501,5,0.6206798048686,0.9598607358584166,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n52,true,0.6893967243922577,0.9219078914931441,16,14613,false,0,1,0.8720173555187944,0.708859716393244,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n58,true,0.08288070538182779,0.8370395112446256,12,24500,false,0,0,0.699463614448839,0.7601824542617892,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n59,true,0.3830097586633393,0.6185075822701207,28,936,false,501,4,0.5919149350998865,0.7381795607166244,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n64,false,0.01405726571616584,0.8627838671146082,0,3527,false,501,2,0.2614899722221703,0.5418666380998519,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n67,false,0.13676237822172574,0.7525473943077142,0,2622,false,502,4,0.021360505115272044,0.7511076302345607,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n68,true,0.7408180808594831,0.6056263970466423,25,1005,false,500,3,0.8131209013927272,0.9862876073582021,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n69,true,0.7138336751731384,0.7819191357609885,21,8890,false,501,5,0.4257922805828066,0.6335859706586742,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n71,false,0.09273726124701691,0.6019920881467663,0,10036,false,503,8,0.6485719021125951,0.8363772244808029,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n72,false,0.5944119708521471,0.4016578214052143,0,10902,false,500,2,0.4045720711987209,0.8469634725853292,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n74,true,0.828381539664746,0.7165103715753426,13,313,false,500,3,0.8197373010256191,0.6788876601211308,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n78,false,0.12663980227993815,0.478712513319442,0,1684,false,501,3,0.2258361918839898,0.7734101928362666,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n79,false,0.7189223803620285,0.6004096181639694,0,24500,false,0,0,0.6880535316605382,0.665956948103032,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n81,false,0.8470868987606547,0.7321933938818199,0,18756,false,500,2,0.5630282546801822,0.6280536178651954,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n82,true,0.8704183077885538,0.8239474237372855,15,3715,false,269,3,0.6889322255465605,0.4020031721611733,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n83,false,0.8551458396912255,0.8274306941219414,0,410,false,502,5,0.4908958719341064,0.868974993855191,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n85,true,0.5930644311507048,0.8494161868308792,18,381,false,501,3,0.6238893474039446,0.9154262457538457,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n90,false,0.46369390521521586,0.7502804335674818,0,3414,false,500,2,0.4070440752599414,0.5711136415716164,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n93,false,0.5061616205949955,0.8819623536357968,0,141,false,501,3,0.4505259966868007,0.3229522084554141,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n97,false,0.43343855064251385,0.8468264141597353,0,6751,false,503,7,0.6719920068839608,0.12407681276434118,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n98,false,0.709443438251864,0.7892489926504942,0,24500,false,500,0,0.8036535307374775,0.4898919017265134,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n99,false,0.2200321659898234,0.784486263677895,0,7305,false,502,4,0.2979643236552203,0.2466145981396456,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n101,false,0.6045218072297169,0.8403535645869011,0,5109,false,504,11,0.5713281795027747,0.4819985926331248,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n104,false,0.21954781704584436,0.5570383213103326,0,9317,false,501,6,0.8082102153706929,0.7304395123141707,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n106,false,0.2700072078558628,0.7207330921892959,0,910,false,503,8,0.705003003418724,0.21054606519202523,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n108,true,0.9398565177543213,0.6064492377102099,14,560,false,500,2,0.5514673522817798,0.57545959427789,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n109,false,0.9878233731314587,0.2402020479086055,0,20679,false,500,2,0.6475046204579276,0.979370823659142,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n110,false,0.8263073590390381,0.9039722062269651,0,951,false,502,6,0.07690915151162742,0.7440791260259967,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n112,false,0.09837706998641611,0.40834798267359884,0,1018,false,502,6,0.395647616894663,0.5891533792028143,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n113,false,0.8741686011725551,0.691971859770808,0,24500,false,0,0,0.4929503034386753,0.6472497122110819,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n114,false,0.2655568894068814,0.5933455374211352,0,445,false,504,9,0.5688326549002459,0.2756575275402212,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n115,false,0.5867383008505679,0.3888643439595747,0,617,false,500,2,0.8846642058732026,0.5237067581714819,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n117,true,0.705440682160502,0.7167310756316366,16,1022,false,500,1,0.863532584356759,0.768552444625526,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n121,false,0.9607565349456162,0.6036293520550661,0,974,false,502,6,0.1497983521568953,0.7592657863730822,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n124,false,0.26926879715273716,0.6338508720290849,0,979,false,503,6,0.39767122810870925,0.9101305824456051,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n127,false,0.32733908062621825,0.9334767532152317,0,1050,false,506,14,0.598427768080452,0.8086141808077997,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n130,false,0.9999973186280712,0.7382616363824968,0,3506,false,501,4,0.7959584898293577,0.5458505287557109,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n136,false,0.13733109904416438,0.5939075681502801,0,21320,false,500,2,0.3344253746917968,0.4609477386316378,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n137,false,0.8244401377045139,0.7246796747413721,0,170,false,501,3,0.7787183713553759,0.7778141439083079,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n139,false,0.8863222483755335,0.7335778942691583,0,23052,false,500,1,0.5661933212431788,0.8512187503031523,null
851942,3950058,69781,723728,58433,14016,55765,430457,293271,25316,33117,11053,2963,14565,41200,87777,0,165385,127886,4246,21070,8395,24722,81658,3868400,11094,69949,615,5586,5508,4083,1503,5004,504,69911,38,25497,44414,38,0,0,615,0,0,615,0,1753033,2115367,613666,1139367,992698,1122669,n141,false,0.42367867631301614,0.6781016754125846,0,5475,false,500,2,0.43196456512351344,0.8608105690972766,null
