rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
8893884,14253520,2314922,6475654,103308,1517328,797594,4953722,0,78487,24821,1139372,377956,1085179,1234347,1578232,0,42656,35831,8919,15902,324604,13928916,104174,215115,5315,44025,60149,16312,27713,43549,16600,212848,2267,92373,120475,2267,0,1,5314,1,0,5314,0,6872952,7055964,2464202,4408750,3226347,3829617,n0,false,0.8943589499218936,0.746446853383712,0,9180,false,504,8,0.4980477120012749,0.4450878813640151,null
8893884,14253520,2314922,6475654,103308,1517328,797594,4953722,0,78487,24821,1139372,377956,1085179,1234347,1578232,0,42656,35831,8919,15902,324604,13928916,104174,215115,5315,44025,60149,16312,27713,43549,16600,212848,2267,92373,120475,2267,0,1,5314,1,0,5314,0,6872952,7055964,2464202,4408750,3226347,3829617,n1,false,0.1548782502283848,0.7542458758323816,0,16086,false,501,2,0.24486701391518495,0.219915457707192,null
8893884,14253520,2314922,6475654,103308,1517328,797594,4953722,0,78487,24821,1139372,377956,1085179,1234347,1578232,0,42656,35831,8919,15902,324604,13928916,104174,215115,5315,44025,60149,16312,27713,43549,16600,212848,2267,92373,120475,2267,0,1,5314,1,0,5314,0,6872952,7055964,2464202,4408750,3226347,3829617,n2,true,0.6617717929976407,0.8003528173131926,9,2513,false,500,3,0.4121270694795848,0.8972759475418117,null
8893884,14253520,2314922,6475654,103308,1517328,797594,4953722,0,78487,24821,1139372,377956,1085179,1234347,1578232,0,42656,35831,8919,15902,324604,13928916,104174,215115,5315,44025,60149,16312,27713,43549,16600,212848,2267,92373,120475,2267,0,1,5314,1,0,5314,0,6872952,7055964,2464202,4408750,3226347,3829617,n3,false,0.008498861539970263,0.734053548110419,0,8516,false,502,4,0.5144337102074323,0.07595471670217813,null
8893884,14253520,2314922,6475654,103308,1517328,797594,4953722,0,78487,24821,1139372,377956,1085179,1234347,1578232,0,42656,35831,8919,15902,324604,13928916,104174,215115,5315,44025,60149,16312,27713,43549,16600,212848,2267,92373,120475,2267,0,1,5314,1,0,5314,0,6872952,7055964,2464202,4408750,3226347,3829617,n4,false,0.9229237079940564,0.7797815630082817,0,952,false,503,7,0.3302299236162659,0.840575071327416,null
8893884,14253520,2314922,6475654,103308,1517328,797594,4953722,0,78487,24821,1139372,377956,1085179,1234347,1578232,0,42656,35831,8919,15902,324604,13928916,104174,215115,5315,44025,60149,16312,27713,43549,16600,212848,2267,92373,120475,2267,0,1,5314,1,0,5314,0,6872952,7055964,2464202,4408750,3226347,3829617,n6,true,0.5880499022007952,0.8436641981430812,7,358,false,0,1,0.8462237315786152,0.7929599181749184,null
8893884,14253520,2314922,6475654,103308,1517328,797594,4953722,0,78487,24821,1139372,377956,1085179,1234347,1578232,0,42656,35831,8919,15902,324604,13928916,104174,215115,5315,44025,60149,16312,27713,43549,16600,212848,2267,92373,120475,2267,0,1,5314,1,0,5314,0,6872952,7055964,2464202,4408750,3226347,3829617,n9,false,0.5314645657010452,0.3467547303406848,0,13608,false,501,2,0.6984883332339332,0.36557837127056514,null
8893884,14253520,2314922,6475654,103308,1517328,797594,4953722,0,78487,24821,1139372,377956,1085179,1234347,1578232,0,42656,35831,8919,15902,324604,13928916,104174,215115,5315,44025,60149,16312,27713,43549,16600,212848,2267,92373,120475,2267,0,1,5314,1,0,5314,0,6872952,7055964,2464202,4408750,3226347,3829617,n10,true,0.4587076926566411,0.6052875139547479,9,4329,false,503,8,0.6179265606682179,0.4620361204540254,null
8893884,14253520,2314922,6475654,103308,1517328,797594,4953722,0,78487,24821,1139372,377956,1085179,1234347,1578232,0,42656,35831,8919,15902,324604,13928916,104174,215115,5315,44025,60149,16312,27713,43549,16600,212848,2267,92373,120475,2267,0,1,5314,1,0,5314,0,6872952,7055964,2464202,4408750,3226347,3829617,n12,false,0.8938102079321589,0.46931172469547855,0,2498,false,503,7,0.08411280914527236,0.5597288968719627,null
8893884,14253520,2314922,6475654,103308,1517328,797594,4953722,0,78487,24821,1139372,377956,1085179,1234347,1578232,0,42656,35831,8919,15902,324604,13928916,104174,215115,5315,44025,60149,16312,27713,43549,16600,212848,2267,92373,120475,2267,0,1,5314,1,0,5314,0,6872952,7055964,2464202,4408750,3226347,3829617,n13,false,0.834262690356954,0.770227106546004,0,254,false,502,6,0.032908705347140965,0.05722521380729462,null
